门店,年份,月份,总营收,确认收入,总客流,老客,A类数量,A类转化数,A类转化分母,A类转化率,A类美团点评,A类路过,A类老带新,A类其他,B类数量,B类转化数,B类转化分母,B类转化率,C类数量,C类转化数,C类转化分母,C类转化率,D类数量,D类转化数,D类转化分母,D类转化率,总有效服务时长,人均服务时长,打鱼邀约,主动上门
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双玺,2024,6,98969,127417.33,124,108,16,2,10,20,5,1,6,4,4,2,4,50,20,9,18,50,84,3,82,3.66,204.5,1.65,0,108
双玺,2024,7,119792.4,130163.6,121,104,17,1,9,11.11,9,0,8,0,6,1,6,16.67,24,11,23,47.83,74,3,68,4.41,198.01,1.64,0,104
双玺,2024,8,155487,140415.98,140,126,14,4,8,50,8,0,6,0,2,1,2,50,23,12,20,60,101,6,96,6.25,232.42,1.66,42,84
双玺,2024,9,189761,136369.99,136,113,23,3,15,20,9,4,9,1,4,2,4,50,23,14,22,63.64,86,8,82,9.76,222.92,1.64,40,73
双玺,2024,10,167997,138437.18,149,133,16,2,10,20,6,1,7,2,6,3,6,50,12,4,11,36.36,115,8,106,7.55,239.58,1.61,60,73
双玺,2024,11,227946.8,129672.85,142,131,11,2,6,33.33,2,2,5,2,2,1,2,50,18,8,17,47.06,111,14,103,13.59,208.75,1.47,58,73
双玺,2024,12,227661,188549.04,187,163,24,4,15,26.67,15,0,9,0,3,3,3,100,19,11,18,61.11,141,9,134,6.72,277.18,1.48,75,88
双玺,2025,1,169161.8,211218.82,163,142,21,2,8,25,4,3,14,0,2,1,2,50,14,7,13,53.85,126,4,110,3.64,265.75,1.63,94,48
双玺,2025,2,115015.8,142807.81,153,135,18,1,15,6.67,13,2,3,0,0,0,0,0,10,6,10,60,125,2,107,1.87,241,1.58,66,69
双玺,2025,3,110268,153596.99,153,133,20,6,13,46.15,12,1,7,0,8,1,8,12.5,17,11,17,64.71,108,1,103,0.97,252.75,1.65,68,65
双玺,2025,4,90469,148513.94,146,130,16,2,12,16.67,11,0,4,1,2,0,2,0,15,4,12,33.33,113,4,103,3.88,243.83,1.67,72,58
双玺,2025,5,172999,155684.7,162,140,22,7,13,53.85,9,4,9,0,3,3,4,75,20,5,15,33.33,117,7,103,6.8,257.25,1.59,80,60
双玺,2025,6,134828,126725.72,142,125,17,3,9,33.33,8,1,8,0,4,1,4,25,14,8,14,57.14,107,5,101,4.95,219,1.54,58,67
双玺,2025,7,162218,145744.34,162,131,31,6,23,26.09,21,2,8,0,3,1,3,33.33,12,6,10,60,116,4,106,3.77,258.75,1.6,56,75
双玺,2025,8,168787.8,166903.38,180,165,15,3,8,37.5,4,3,8,0,2,2,2,100,22,7,19,36.84,141,7,131,5.34,281.5,1.56,91,74
双玺,2025,9,112111,145032.65,163,146,17,3,7,42.86,5,1,10,1,5,4,5,80,16,11,16,68.75,125,2,115,1.74,257.25,1.58,83,63
双玺,2025,10,154352,158508.12,171,146,25,4,15,26.67,10,5,10,0,3,0,3,0,22,7,20,35,121,9,110,8.18,267.08,1.56,63,83
侨城平均,,,151637,149751,153,134,19,55,196,29.17,,,,,,26,60,43.68,,141,275,51.11,,96,1760,5.48,,,67.07,70.20
,,,,,,,,,,28.06,,,,,,,,43.33,,,,51.27,,,,5.45,,,,
